Customer ID,Phone Number,Reliability Score,Risk Tier
CUST01,+919365425795,45,High
CUST02,+917086086820,100,Low
CUST03,+919211816265,76,Low
CUST04,+918685047194,70,Medium
CUST05,+919196254131,64,Medium
CUST06,+919749526023,70,Medium
CUST07,+917832277221,100,Low
CUST08,+917076969735,88,Low
CUST09,+919333377969,64,Medium
CUST10,+917531193104,71,Medium
CUST11,+919093995305,94,Low
CUST12,+919869381932,89,Low
CUST13,+919941935658,76,Low
CUST14,+918894228431,100,Low
CUST15,+917274769150,79,Low
CUST16,+917018994654,89,Low
CUST17,+917300577435,65,Medium
CUST18,+919411876803,66,Medium
